"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
11,"宅地(土地と建物)","商業地","13101","東京都","千代田区","神田佐久間河岸","秋葉原","7",340000000,"","","210",,"長方形","20.3","700","昭和58年","ＲＣ","共同住宅、事務所","事務所","北","区道",5.8,"商業地域",80,600,"2020年第２四半期","",""
12,"宅地(土地)","住宅地","13101","東京都","千代田区","神田佐久間町","秋葉原","4",120000000,"3500000","","110",1100000,"長方形","8.5","","","","","住宅","北","私道",2.2,"商業地域",80,500,"2020年第２四半期","",""
13,"宅地(土地)","商業地","13101","東京都","千代田区","神田猿楽町","神保町","5",150000000,"4500000","","110",1400000,"ほぼ整形","6.5","","","","","住宅","南東","区道",3.0,"商業地域",80,500,"2020年第２四半期","",""
14,"中古マンション等","","13101","東京都","千代田区","神田神保町","九段下","2",21000000,"","１Ｋ","20",,"","","","平成9年","ＳＲＣ","","その他","","",,"商業地域",80,600,"2020年第２四半期","未改装",""
15,"中古マンション等","","13101","東京都","千代田区","神田神保町","九段下","3",19000000,"","","25",,"","","","昭和53年","ＲＣ","","","","",,"商業地域",80,500,"2020年第２四半期","",""
16,"中古マンション等","","13101","東京都","千代田区","神田神保町","神保町","2",22000000,"","１Ｋ","20",,"","","","平成16年","ＳＲＣ","住宅","その他","","",,"商業地域",80,600,"2020年第２四半期","",""
17,"中古マンション等","","13101","東京都","千代田区","神田神保町","神保町","1",28000000,"","１Ｋ","30",,"","","","平成12年","ＳＲＣ","","その他","","",,"商業地域",80,600,"2020年第２四半期","未改装",""
18,"中古マンション等","","13101","東京都","千代田区","神田神保町","神保町","1",65000000,"","２ＬＤＫ","50",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2020年第２四半期","未改装",""
19,"中古マンション等","","13101","東京都","千代田区","神田須田町","淡路町","3",25000000,"","","20",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2020年第２四半期","",""
20,"中古マンション等","","13101","東京都","千代田区","神田須田町","淡路町","2",88000000,"","２ＬＤＫ","55",,"","","","平成30年","ＲＣ","","住宅","","",,"商業地域",80,600,"2020年第２四半期","未改装",""
21,"中古マンション等","","13101","東京都","千代田区","神田須田町","岩本町","4",26000000,"","１Ｋ","20",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"商業地域",80,800,"2020年第２四半期","未改装",""
22,"宅地(土地と建物)","商業地","13101","東京都","千代田区","神田須田町","神田(東京)","2",230000000,"","","70",,"ほぼ長方形","7.6","230","昭和60年","鉄骨造","事務所","住宅","北西","区道",6.0,"商業地域",80,600,"2020年第２四半期","",""
23,"宅地(土地と建物)","商業地","13101","東京都","千代田区","神田須田町","神田(東京)","1",240000000,"","","70",,"ほぼ長方形","7.6","230","昭和47年","鉄骨造","住宅、事務所、駐車場","住宅","北西","区道",6.0,"商業地域",80,600,"2020年第２四半期","",""
24,"宅地(土地と建物)","商業地","13101","東京都","千代田区","神田須田町","神田(東京)","2",140000000,"","","40",,"ほぼ長方形","6.0","65","","","","住宅","南東","区道",3.0,"商業地域",80,600,"2020年第２四半期","",""
25,"宅地(土地と建物)","商業地","13101","東京都","千代田区","神田須田町","神田(東京)","1",64000000,"","","30",,"長方形","3.4","55","昭和39年","木造","店舗","","北西","区道",6.0,"商業地域",80,600,"2020年第２四半期","",""
26,"宅地(土地)","商業地","13101","東京都","千代田区","神田須田町","神田(東京)","1",89000000,"9600000","","30",2900000,"ほぼ長方形","3.6","","","","","","南西","区道",8.0,"商業地域",80,600,"2020年第２四半期","",""
